ASM,Region,Input Date,Distributor,Stock Date,Category,Prod ID,Stock,Week,Month,Month (Name),Max Mapping
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-02,250,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-04,2613,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-05,2257,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-07,3923,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-09,257,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-102,366,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-103,2621,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-104,863,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-106,2051,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-131,4876,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-132,2168,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-134,60,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-1441,291,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-1442,132,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-1443,97,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-1445,113,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-148,1451,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-149,1629,9,2,February,
Ryo Wignyo,Northern Sumatera,3-Mar-2025,PT GLOBAL MITRA PRIMA - BANDA ACEH,28-Feb-2025,G2G,G2G-150,1712,9,2,February,
